"Participation rate, Australia, August 1966 to January 2024, Seasonally adjusted"
"Mar-02","63.2","71.8","54.9"
"Apr-02","63.0","71.7","54.6"
"May-02","63.1","71.8","54.7"
"Jun-02","63.3","71.9","55.0"
"Jul-02","63.1","71.6","54.9"
"Aug-02","63.5","71.8","55.5"
"Sep-02","63.4","71.6","55.5"
"Oct-02","63.3","71.4","55.5"
"Nov-02","63.6","71.7","55.7"
"Dec-02","63.8","71.9","56.0"
"Jan-03","64.0","71.9","56.3"
"Feb-03","64.0","71.9","56.3"
"Mar-03","63.7","71.7","56.0"
"Apr-03","63.5","71.4","56.0"
"May-03","63.6","71.4","56.2"
"Jun-03","63.4","71.3","55.8"
"Jul-03","63.3","71.2","55.7"
"Aug-03","63.4","71.3","55.8"
"Sep-03","63.4","71.3","55.8"
"Oct-03","63.5","71.6","55.7"
"Nov-03","63.3","71.3","55.6"
"Dec-03","63.5","71.6","55.6"
"Jan-04","63.3","71.6","55.3"
"Feb-04","63.3","71.5","55.4"
"Mar-04","63.3","71.4","55.5"
"Apr-04","63.4","71.5","55.5"
"May-04","63.3","71.4","55.5"
"Jun-04","63.4","71.6","55.5"
"Jul-04","63.4","71.4","55.7"
"Aug-04","63.3","71.1","55.7"
"Sep-04","63.5","71.5","55.7"
"Oct-04","63.6","71.5","56.0"
"Nov-04","63.8","71.7","56.2"
"Dec-04","63.7","71.5","56.2"
"Jan-05","64.0","71.8","56.5"
"Feb-05","64.1","71.8","56.7"
"Mar-05","64.3","71.9","56.9"
"Apr-05","64.5","72.3","56.9"
"May-05","64.3","72.0","56.8"
"Jun-05","64.4","72.1","57.0"
"Jul-05","64.5","72.0","57.1"
"Aug-05","64.6","72.4","57.1"
"Sep-05","64.5","72.2","57.1"
"Oct-05","64.5","72.0","57.1"
"Nov-05","64.4","72.0","57.0"
"Dec-05","64.5","72.1","57.1"
"Jan-06","64.4","71.9","57.2"
"Feb-06","64.5","72.2","57.1"
"Mar-06","64.5","72.2","57.1"
"Apr-06","64.6","72.1","57.3"
"May-06","64.6","71.9","57.4"
"Jun-06","64.8","72.2","57.6"
"Jul-06","64.9","72.4","57.7"
"Aug-06","64.9","72.4","57.8"
"Sep-06","65.1","72.5","57.9"
"Oct-06","64.7","72.1","57.5"
"Nov-06","64.8","72.2","57.7"
"Dec-06","65.1","72.5","58.0"
"Jan-07","64.9","72.3","57.8"
"Feb-07","65.0","72.3","58.0"
"Mar-07","65.0","72.4","57.8"
"Apr-07","65.0","72.4","57.8"
"May-07","65.0","72.4","57.9"
"Jun-07","65.1","72.6","57.9"
"Jul-07","65.1","72.5","58.0"
"Aug-07","65.3","72.7","58.1"
"Sep-07","65.3","72.5","58.3"
"Oct-07","65.2","72.3","58.3"
"Nov-07","65.5","72.8","58.5"
"Dec-07","65.5","72.8","58.4"
"Jan-08","65.4","72.6","58.5"
"Feb-08","65.4","72.6","58.4"
"Mar-08","65.4","72.6","58.4"
"Apr-08","65.7","72.7","58.8"
"May-08","65.4","72.5","58.4"
"Jun-08","65.6","72.8","58.5"
"Jul-08","65.6","72.5","58.8"
"Aug-08","65.5","72.6","58.7"
"Sep-08","65.5","72.7","58.5"
"Oct-08","65.4","72.5","58.5"
"Nov-08","65.4","72.4","58.6"
"Dec-08","65.4","72.5","58.5"
"Jan-09","65.5","72.4","58.8"
"Feb-09","65.7","72.4","59.2"
"Mar-09","65.7","72.4","59.1"
"Apr-09","65.6","72.4","58.9"
"May-09","65.5","72.4","58.9"
"Jun-09","65.4","72.2","58.7"
"Jul-09","65.4","72.3","58.7"
"Aug-09","65.3","72.2","58.5"
"Sep-09","65.3","72.2","58.5"
"Oct-09","65.2","72.1","58.5"
"Nov-09","65.3","72.1","58.6"
"Dec-09","65.4","72.3","58.6"
"Jan-10","65.4","72.4","58.6"
"Feb-10","65.2","72.3","58.3"
"Mar-10","65.2","72.2","58.4"
"Apr-10","65.3","72.3","58.4"
"May-10","65.0","72.0","58.3"
"Jun-10","65.2","72.1","58.5"
"Jul-10","65.4","72.2","58.7"
"Aug-10","65.4","72.2","58.7"
"Sep-10","65.5","72.5","58.7"
"Oct-10","65.7","72.6","58.9"
"Nov-10","65.8","72.7","59.1"
"Dec-10","65.6","72.6","58.8"
"Jan-11","65.8","72.8","58.9"
"Feb-11","65.5","72.5","58.7"
"Mar-11","65.6","72.4","59.0"
"Apr-11","65.4","72.2","58.7"
"May-11","65.3","72.0","58.7"
"Jun-11","65.3","71.9","58.9"
"Jul-11","65.4","72.0","59.0"
"Aug-11","65.5","72.2","59.0"
"Sep-11","65.5","72.1","59.1"
"Oct-11","65.4","72.1","58.9"
"Nov-11","65.4","72.0","58.9"
"Dec-11","65.1","71.8","58.6"
"Jan-12","65.3","72.2","58.7"
"Feb-12","65.1","71.8","58.6"
"Mar-12","65.3","71.8","59.1"
"Apr-12","65.1","71.7","58.6"
"May-12","65.3","71.8","59.1"
"Jun-12","65.1","71.6","58.8"
"Jul-12","65.1","71.5","58.8"
"Aug-12","65.0","71.6","58.6"
"Sep-12","65.3","71.8","59.0"
"Oct-12","65.2","71.8","58.8"
"Nov-12","65.0","71.5","58.6"
"Dec-12","65.0","71.7","58.6"
"Jan-13","65.3","72.0","58.8"
"Feb-13","65.2","71.7","58.9"
"Mar-13","65.1","71.5","58.8"
"Apr-13","65.1","71.5","59.0"
"May-13","65.0","71.6","58.7"
"Jun-13","65.1","71.6","58.7"
"Jul-13","64.9","71.3","58.7"
"Aug-13","64.9","71.3","58.7"
"Sep-13","64.8","71.2","58.7"
"Oct-13","64.8","71.2","58.7"
"Nov-13","64.6","71.0","58.4"
"Dec-13","64.5","70.9","58.2"
"Jan-14","64.6","70.8","58.5"
"Feb-14","64.6","70.7","58.6"
